year,county,value,pop
2015,Anderson,86,75500
2015,Bedford,50,46954
2015,Benton,10,16224
2015,Bledsoe,5,14611
2015,Blount,51,127047
2015,Bradley,93,103846
2015,Campbell,31,39805
2015,Cannon,35,13746
2015,Carroll,19,27986
2015,Carter,93,56385
2015,Cheatham,120,39597
2015,Chester,39,17130
2015,Claiborne,15,31585
2015,Clay,6,7668
2015,Cocke,57,35157
2015,Coffee,31,54130
2015,Crockett,27,14588
2015,Cumberland,134,58259
2015,Davidson,310,680397
2015,Decatur,22,11596
2015,DeKalb,10,19281
2015,Dickson,226,51357
2015,Dyer,13,37784
2015,Fayette,42,39291
2015,Fentress,32,17974
2015,Franklin,87,41385
2015,Gibson,28,49327
2015,Giles,120,28982
2015,Grainger,11,22847
2015,Greene,69,68621
2015,Grundy,12,13339
2015,Hamblen,27,63379
2015,Hamilton,210,353985
2015,Hancock,12,6577
2015,Hardeman,108,25823
2015,Hardin,85,25760
2015,Hawkins,29,56397
2015,Haywood,46,18040
2015,Henderson,46,28092
2015,Henry,8,32133
2015,Hickman,84,24395
2015,Houston,3,8127
2015,Humphreys,29,18153
2015,Jackson,24,11541
2015,Jefferson,24,53049
2015,Johnson,58,17851
2015,Knox,82,451551
2015,Lake,1,7603
2015,Lauderdale,80,26907
2015,Lawrence,41,42607
2015,Lewis,19,11884
2015,Lincoln,51,33634
2015,Loudon,139,50950
2015,Macon,14,23075
2015,Madison,140,97613
2015,Marion,49,28407
2015,Marshall,67,31597
2015,Maury,168,87547
2015,McMinn,119,52519
2015,McNairy,60,25874
2015,Meigs,15,11813
2015,Monroe,19,45645
2015,Montgomery,441,192749
2015,Moore,8,6261
2015,Morgan,5,21514
2015,Obion,33,30580
2015,Overton,40,22062
2015,Perry,16,7855
2015,Pickett,6,5143
2015,Polk,6,16778
2015,Putnam,130,75091
2015,Rhea,36,32402
2015,Roane,104,52799
2015,Robertson,201,68709
2015,Rutherford,326,298401
2015,Scott,13,21896
2015,Sequatchie,13,14641
2015,Sevier,25,95492
2015,Shelby,286,937598
2015,Smith,56,19316
2015,Stewart,52,13193
2015,Sullivan,309,156336
2015,Sumner,221,175467
2015,Tipton,35,61570
2015,Trousdale,40,8053
2015,Unicoi,49,17830
2015,Union,12,19159
2015,Van_Buren,58,5697
2015,Warren,68,40271
2015,Washington,156,126238
2015,Wayne,58,16765
2015,Weakley,3,33875
2015,White,74,26368
2015,Williamson,365,211713
2015,Wilson,127,128610